feature,importance
fp_859,-3.2205442319632738e-06
fp_379,-3.2424902106272433e-06
fp_827,-3.3961869741287267e-06
fp_158,-3.4224193283804993e-06
fp_774,-3.5106729296963124e-06
fp_723,-3.8261627816060795e-06
fp_961,-3.867517068415853e-06
fp_232,-3.91904099772411e-06
fp_180,-4.059959048285933e-06
fp_951,-4.123831277273264e-06
fp_941,-4.375975165042216e-06
fp_588,-4.4192576803177746e-06
fp_782,-4.51925960183915e-06
fp_37,-4.756065764481103e-06
fp_157,-4.9534863908092435e-06
fp_891,-5.078740049328327e-06
fp_296,-5.146477640605163e-06
fp_543,-5.370058683951129e-06
fp_258,-5.405803591836585e-06
fp_833,-5.549621589569694e-06
fp_237,-5.780474398586755e-06
fp_101,-5.846379567612618e-06
fp_450,-6.023851724767937e-06
fp_846,-6.386461982625195e-06
fp_803,-6.51860366270481e-06
fp_881,-6.597690782150778e-06
fp_8,-6.681681262425225e-06
fp_270,-6.727267816105294e-06
fp_880,-6.805822630351344e-06
fp_280,-7.044490655879383e-06
fp_23,-7.1015897258330796e-06
fp_135,-7.995130781942214e-06
fp_913,-8.128123015168262e-06
fp_478,-8.163315934191692e-06
fp_806,-8.267362120895072e-06
fp_518,-8.470551548844796e-06
fp_778,-8.827811988669035e-06
fp_47,-9.210538336135166e-06
fp_41,-9.28228653855149e-06
fp_988,-9.6224298586541e-06
fp_152,-9.858828875793554e-06
fp_583,-1.0096868442444062e-05
fp_549,-1.0349807604614902e-05
fp_608,-1.072876093318372e-05
fp_908,-1.086816911262852e-05
fp_331,-1.1771486391716953e-05
fp_444,-1.3273665814717006e-05
fp_609,-1.3808421775636978e-05
fp_532,-1.3944375470901585e-05
fp_57,-1.3950561741471468e-05
fp_151,-1.4913711438283942e-05
fp_1007,-1.5109313927674783e-05
fp_39,-1.512131767415307e-05
fp_35,-1.6038206068177036e-05
fp_922,-1.623510149972862e-05
fp_841,-1.6478358629316386e-05
fp_338,-1.674095395498565e-05
fp_400,-1.7513434829215708e-05
fp_853,-1.7566147803090477e-05
fp_567,-1.837045001447842e-05
fp_651,-1.863034973644447e-05
fp_698,-1.9227191569326507e-05
fp_534,-1.9540565473893008e-05
fp_586,-2.0476069062006868e-05
fp_729,-2.0766764262954613e-05
fp_501,-2.094490826024901e-05
fp_219,-2.133449351700752e-05
fp_282,-2.2229698547223304e-05
fp_395,-2.2445131563538407e-05
fp_615,-2.246019672676643e-05
fp_373,-2.2944066559671406e-05
fp_341,-2.2984548587068332e-05
fp_914,-2.330370107783697e-05
fp_558,-2.3643125167893686e-05
fp_260,-2.4007628888137827e-05
fp_212,-2.4125373161247115e-05
fp_103,-2.4386952365655173e-05
